Pair,Tests_passed,HR,R2_train,Train_Sharpe,Train_CI_lo,Train_CI_hi,Test_Sharpe,Test_CI_lo,Test_CI_hi,Test_TotalPnL,Test_MaxDD,Test_WinRate,WF_AvgSharpe,WF_ProfitableYears,BestSens_Sharpe
AMZN/META,Both,1.0405,0.8336,0.5589,-0.2547,1.3669,0.1245,-0.7416,1.0111,0.137688,-0.587759,52.68,0.4057,4,0.5262
MSFT/AAPL,Johansen 10%,0.8228,0.9476,0.2483,-0.7118,1.0804,-0.2279,-1.155,0.7122,-0.132901,-0.452642,49.13,0.0006,4,1.2421
