Period,Days,Total_PnL,Ann_PnL,Ann_Vol,Sharpe_ratio,Sortino_ratio,Max_drawdown,Calmar_ratio,Win_rate_pct,Num_position_chg,Num_trades_est,Avg_trade_PnL,Pct_in_market,HR,R2
Test 2022-2025,1003,0.137688,0.034593,0.277874,0.1245,0.089,-0.587759,0.0589,52.68,53,26,0.005296,33.5,,
2019,252,-0.036113,-0.036113,0.120736,-0.2991,-0.2426,-0.129039,-0.2799,55.42,9,4,-0.009028,32.94,0.051,0.0025
2020,253,0.221315,0.22044,0.222445,0.991,1.1176,-0.224675,0.9812,50.0,17,8,0.027664,54.55,0.2963,0.0976
2021,252,0.18201,0.18201,0.1887,0.9645,0.9372,-0.142863,1.274,58.97,17,8,0.022751,46.43,1.1247,0.6983
2022,251,-0.005429,-0.00545,0.451741,-0.0121,-0.0081,-0.586717,-0.0093,50.0,11,5,-0.001086,30.28,1.0405,0.8336
2023,250,0.058177,0.058642,0.157162,0.3731,0.3886,-0.10414,0.5631,46.15,14,7,0.008311,26.0,0.7902,0.6212
2024,252,-0.087584,-0.087584,0.154811,-0.5657,-0.587,-0.134793,-0.6498,54.4,13,6,-0.014597,49.6,0.7265,0.6116
2025,250,0.211654,0.213347,0.153684,1.3882,1.4881,-0.071378,2.989,52.56,16,8,0.026457,31.2,0.6286,0.7056
