Cost_bps,Sharpe,Total_PnL,Max_drawdown,Num_trades
5,-0.1357,-0.078901,-0.428642,26
10,-0.2279,-0.132901,-0.452642,26
20,-0.4103,-0.240901,-0.500642,26
30,-0.5888,-0.348901,-0.548642,26
