Date,Close,High,Low,Open,Volume
2018-01-02,53.18885803222656,53.32614091737454,52.18823228434739,52.18823228434739,31766000
2018-01-03,54.09632110595703,54.32330847105232,53.19977187055567,53.22454987197943,31318000
2018-01-04,54.30644607543945,54.718790059476795,54.232108303310795,54.37236318538446,26052000
2018-01-05,55.02656936645508,55.189624716090684,54.60580088310627,54.68757622449183,30250000
2018-01-08,55.22084045410156,55.466166454382616,55.01219178929201,55.06175156620179,24644000
2018-01-09,55.15045928955078,55.43047748104489,54.922976648891435,55.43047748104489,26808000
2018-01-10,55.01913070678711,55.149970485161695,54.713839150969285,54.86350914916023,20734000
2018-01-11,55.11379623413086,55.252565133136116,54.83774443550206,55.1266824577769,22424000
2018-01-12,56.035621643066406,56.06783342050424,54.91357113017225,55.01715246966422,38586000
2018-01-16,56.03809356689453,56.93910443488251,55.83786934969371,56.51436955500882,36462000
2018-01-17,56.45440673828125,56.465307847683086,55.68076449476652,56.31860984509447,27830000
2018-01-18,56.299278259277344,56.528246921584206,55.72883604525269,56.46679158893664,27498000
2018-01-19,56.67247772216797,56.686354613111284,56.12731252889379,56.401383015608864,30552000
2018-01-22,57.6963996887207,57.83120593343295,56.58921662618801,56.688339977055605,29550000
2018-01-23,58.29161071777344,58.40758294017349,57.849531608708695,58.01654960732735,39138000
2018-01-24,58.04976272583008,58.83083881813154,57.8569722590722,58.72824813925114,37128000
2018-01-25,58.587486267089844,58.72923093256369,58.07701338802162,58.5166158249372,29984000
2018-01-26,58.85610580444336,58.85610580444336,57.888190909871525,58.85461980516385,42170000
2018-01-29,58.802581787109375,59.373519332145875,58.68264312073924,58.87791400810849,31494000
2018-01-30,58.35108947753906,58.87444862969986,58.209344798341796,58.36843748053096,37338000
2018-01-31,58.591461181640625,58.79466120894524,58.08990800669046,58.67026074563445,36022000
2018-02-01,58.56023025512695,58.85065804242788,57.954105130048816,58.282692471951954,73514000
2018-02-02,55.4681510925293,56.06783312556541,55.07017929193355,55.87553800351339,117842000
2018-02-05,52.652618408203125,55.259503727550815,52.372603943799035,54.54682144708613,83550000
