Date,Close,High,Low,Open,Volume
2018-01-02,179.8406982421875,179.99930903816085,176.00439226107548,176.13325029759054,18151900
2018-01-03,183.0624237060547,183.1714667479119,179.751502436514,180.2967176457999,16886600
2018-01-04,182.72537231445312,184.58901137891618,182.4973787457023,183.29040248500226,13880900
2018-01-05,185.2234344482422,185.2729870861427,183.3201351725939,183.97439335322562,13574500
2018-01-08,186.6409912109375,187.25558917125224,184.70796929869047,185.57039096893325,17994700
2018-01-09,186.23455810546875,187.15647017887486,185.47127196380572,187.05733464377002,12393100
2018-01-10,186.20486450195312,186.25443228122683,184.01411084210392,185.31270497887687,10529900
2018-01-11,186.1354522705078,186.7599577874975,185.7488478548627,186.7599577874975,9588600
2018-01-12,177.8085479736328,179.9001806600527,175.85569595771645,176.50995417264406,77551300
2018-01-16,176.83709716796875,180.16784864759262,176.49013790148217,179.920024921805,36183800
2018-01-17,176.05398559570312,177.7590140851603,174.26965169674097,177.69952368356135,27992400
2018-01-18,178.23480224609375,179.40452281144417,175.53847926804798,176.57934179925704,23304900
2018-01-19,179.71185302734375,180.78245337771955,178.60160753478826,179.2756959595258,26826500
2018-01-22,183.75631713867188,183.7761472704693,178.83950327001827,179.2261076472953,21059500
2018-01-23,187.70169067382812,187.89994662368082,183.93476712278948,184.4304145604009,25678800
2018-01-24,184.9260711669922,189.000293911204,184.89633352933782,188.2369925841679,24334500
2018-01-25,185.8479461669922,186.9780216418481,184.97561702255004,186.3138559363235,17377700
2018-01-26,188.3460235595703,188.3460235595703,185.18379053333774,186.11561012268066,17759200
2018-01-29,184.36102294921875,187.19612699413045,184.0140788066284,187.10691408254664,20453200
2018-01-30,185.4910888671875,186.54185899582595,180.25705323045165,185.98673629586293,20858600
2018-01-31,185.26307678222656,188.17748579191672,183.60761635090384,186.73018878931038,43275100
2018-02-01,191.4091033935547,193.6197016200102,186.2543736178571,186.58150270687463,54211300
2018-02-02,188.62356567382812,192.51936194511623,188.32617422071368,190.36823900563112,26677500
2018-02-05,179.6820831298828,188.95069520574518,179.0377475849117,185.30272261578048,33128200
2018-02-06,183.6968536376953,184.15285594249758,176.1927591862232,177.0155357600023,37758500
2018-02-07,178.6114959716797,183.4688497349977,178.3835023950745,182.54693767366223,27601900
2018-02-08,170.0863800048828,180.25706018855595,169.98724446493733,179.43428361007963,38478300
2018-02-09,174.5769500732422,175.36006640958556,165.72467851601013,173.2386958723722,39887600
2018-02-12,174.87432861328125,176.00440414043877,170.34410387550926,175.51866421721985,32092100
2018-02-13,171.6427001953125,174.43815898111436,171.59314755272283,174.09119972723084,21809400
2018-02-14,177.95724487304688,178.24471370662351,171.70217717051534,171.9400782394179,28929700
2018-02-15,178.39341735839844,178.9287098904608,175.30056732283978,178.9287098904608,20922100
2018-02-16,175.81607055664062,178.3141380320879,174.76530034402083,177.43188614357126,20645300
2018-02-20,174.477783203125,176.40089743498226,173.58562398003704,174.23988214414553,21204900
2018-02-21,176.3612518310547,179.69200278151916,174.86438708449148,175.17170116145113,23200800
2018-02-22,177.43186950683594,178.6412504261423,175.86562183878408,177.14438553164598,18464200
2018-02-23,181.69444274902344,181.79357829332676,177.94734908895566,178.333953510202,19007300
2018-02-26,183.32015991210938,184.04381608499364,181.62505409148218,182.97321577019545,17599700
2018-02-27,179.88035583496094,183.09214121299286,179.88035583496094,182.8443175201962,15849800
2018-02-28,176.76771545410156,181.28801781951887,176.58927450496145,180.71306495711616,18783000
2018-03-01,174.40841674804688,178.55202192302252,172.89173685137314,177.45168404445934,23201600
2018-03-02,175.08248901367188,175.56822892843414,171.48409904629506,171.78147539619158,20025900
2018-03-05,178.82958984375,179.57306100184647,174.35885539174205,174.66615438360174,16189300
2018-03-06,178.21499633789062,180.79236913443495,177.55083056841832,180.1975861426294,15086800
2018-03-07,182.1107940673828,182.21983711221935,176.51989139549858,177.18405716824475,19097300
2018-03-08,180.75270080566406,182.7947657933089,179.8704489869449,181.9620817426893,17225900
2018-03-09,183.61752319335938,183.89508451462225,181.61511867938526,182.3090219825425,18526300
2018-03-12,183.15164184570312,184.4799885187979,182.61634925054545,183.61755166276623,15301200
2018-03-13,180.29672241210938,184.3709450823562,179.53342109893052,183.99424817762588,18067500
2018-03-14,182.5866241455078,182.64609942394532,180.26699753067993,181.0104687630705,16821700
2018-03-15,182.25946044921875,182.3982411145937,180.60399996726105,181.64486252055227,15614300
2018-03-16,183.47874450683594,183.71666069588863,181.81337656134033,182.88397672314082,24403400
2018-03-19,171.05784606933594,175.6277161779473,168.57960881143305,175.46910536321113,88140100
2018-03-20,166.68624877929688,168.71840656155632,160.54022278311524,166.0121754374141,129851800
2018-03-21,167.91546630859375,171.89055397573145,161.87848314205962,163.3654257028392,106598800
2018-03-22,163.4546356201172,168.7878076803372,162.294822259155,164.68384689310116,73743000
2018-03-23,158.0024871826172,165.149729781003,157.6357129246028,163.99982411279248,53609700
2018-03-26,158.66664123535156,159.69759628468182,147.7227534389627,159.420034954314,126116600
2018-03-27,150.89491271972656,161.43238247494358,149.4377079889614,154.94930527971079,79117000
2018-03-28,151.69784545898438,154.52304175315547,149.48726224034175,150.32985376379096,60029200
2018-03-29,158.39901733398438,160.01483298287022,152.7982067779469,153.79940925693478,59434300
2018-04-02,154.0373077392578,157.81413873690323,152.76845152813178,156.4362394861042,36796000
2018-04-03,154.75103759765625,156.01989377884564,149.4971719367533,155.18720974605736,42543900
2018-04-04,153.74984741210938,154.2058346026059,149.19979225519137,150.7065647617034,49885600
2018-04-05,157.9529266357422,160.1635251660286,155.28634091939514,160.15360253635782,41449600
2018-04-06,155.83154296875,160.01480832701012,155.44493859326903,156.35692801425085,41644800
2018-04-09,156.55517578125,159.1325482338901,154.6816292708015,156.4461478774586,34915200
2018-04-10,163.6033172607422,164.5351369644708,155.6432197611317,156.5552093299407,57889300
2018-04-11,164.87216186523438,167.18186548698537,161.82887950474625,163.9205121817908,56144600
2018-04-12,162.44349670410156,165.99233439844414,161.68021049227764,165.52642456735143,38263000
2018-04-13,163.0878448486328,164.25756559646135,162.34437365692347,163.14732012381594,19990600
2018-04-16,163.3951416015625,164.33686873955153,161.96767451300823,164.27739346518842,18119400
2018-04-17,167.19180297851562,167.52883961733787,164.21791825158064,164.38643657099175,22743000
2018-04-18,164.9118194580078,166.65649302914,164.32695909975985,165.42729703905403,20969600
2018-04-19,166.63668823242188,166.8646818371402,163.7619237830923,164.75321873955892,22235000
2018-04-20,164.83251953125,166.9637975775333,164.36660970469242,166.3293694282149,19119400
2018-04-23,164.39634704589844,166.98362741013062,163.6528758507278,165.81390665685637,23088100
2018-04-24,158.2998809814453,164.65408475932338,156.81293866920322,163.98990388234432,35079900
2018-04-25,158.2998809814453,159.65795011965272,154.8303489195471,158.74596064992605,41083600
2018-04-26,172.6439208984375,174.73555371199632,169.31316947793533,171.71210128586256,77556900
2018-04-27,172.07887268066406,175.55832735149198,171.09750044096126,175.2708433689428,29804700
2018-04-30,170.50271606445312,174.19033415685408,170.2152472102316,172.2771272099344,20750500
2018-05-01,172.34652709960938,172.5051379094044,168.7481218729266,170.50271803213053,26025900
2018-05-02,174.53729248046875,176.52978969481686,172.6835608149028,172.73312858287306,30424500
2018-05-03,172.50514221191406,174.58685242004674,170.62167283203053,173.60548015262694,24026100
2018-05-04,175.07261657714844,175.43939089945704,171.5535161809069,171.5733463168582,17677800
2018-05-07,176.42074584960938,177.93742576162336,175.62770694358582,175.80614788227166,18697200
2018-05-08,177.36248779296875,177.48143834475272,175.5682463824124,176.69832200224107,15577200
