Date,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,MSFT_return,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Volume,GOOGL_return,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,NVDA_return,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,AAPL_return,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume,AMZN_return,META_Open,META_High,META_Low,META_Close,META_Volume,META_return,sp500_return,vix_return,Year,Quarter,Month
2018-01-03,78.80060828221224,79.21265377899964,78.71820337435567,79.06614685058594,26061400,0.46534506419361577,53.22454987197943,54.32330847105232,53.19977187055567,54.09632110595703,31318000,1.7061149784051513,5.039820025695842,5.276872071724263,5.031177549791746,5.246499538421631,914704000,6.581389597561476,40.330183509397145,40.802374685276824,40.19694358149866,40.26005554199219,118071600,-0.01741227783477662,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,62176000,1.277531038348646,180.2967176457999,183.1714667479119,179.751502436514,183.0624237060547,16886600,1.79143291555094,0.6398818768781632,-6.345965303826762,2018,1,1
2018-01-04,79.28592141418987,80.2656710412665,79.26761153616974,79.7620620727539,21912000,0.8801683778559034,54.37236318538446,54.718790059476795,54.232108303310795,54.30644607543945,26052000,0.3884274663906547,5.3277389582428585,5.384285709129352,5.251931497244063,5.274155139923096,583268000,0.5271248248271994,40.33252478094121,40.5499211500562,40.224998308918046,40.44706726074219,89738400,0.46450934116308507,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60442000,0.44760128968574525,183.29040248500226,184.58901137891618,182.4973787457023,182.72537231445312,13880900,-0.18411828313972808,0.4028636080503971,0.7650344417148628,2018,1,1
2018-01-05,80.26567679367027,80.95241253494737,80.05507475924358,80.75096893310547,23407100,1.2398210811670645,54.68757622449183,55.189624716090684,54.60580088310627,55.02656936645508,30250000,1.3260364893244356,5.288972038755744,5.356136563849528,5.212176921617321,5.318850517272949,580124000,0.8474414605578939,40.54291247080879,40.99406285723671,40.45174716352319,40.90757369995117,94640000,1.1385409880037227,60.8754997253418,61.457000732421875,60.5,61.457000732421875,70894000,1.6162516530176159,183.97439335322562,185.2729870861427,183.3201351725939,185.2234344482422,13574500,1.3671128985251886,0.7033767443369519,0.0,2018,1,1
2018-01-08,80.76011291181304,81.10806345948694,80.21072576676166,80.83336639404297,22113000,0.10203897492023718,55.06175156620179,55.466166454382616,55.01219178929201,55.22084045410156,24644000,0.35304960836776167,5.442314845965731,5.555901948622903,5.397373497373646,5.481823444366455,881216000,3.0640629317227814,40.7556266784668,41.050159881448366,40.65744537728277,40.7556266784668,82271200,-0.3714398282305273,61.79999923706055,62.65399932861328,61.60150146484375,62.34349822998047,85590000,1.44246788322509,185.57039096893325,187.25558917125224,184.70796929869047,186.6409912109375,17994700,0.7653225775226767,0.16623439316436486,3.2537980699163236,2018,1,1
2018-01-09,81.17216351237246,81.24541699911678,80.44880104890551,80.77843475341797,19484300,-0.0679566410202708,55.43047748104489,55.43047748104489,54.922976648891435,55.15045928955078,26808000,-0.1274539901457687,5.487254937822689,5.526763530565923,5.398854426236234,5.480340957641602,497000000,-0.027043678803209785,40.80238825912582,40.921603346574265,40.53590474782042,40.75096130371094,86336000,-0.011447191801676606,62.845001220703125,62.96649932861328,62.0880012512207,62.6349983215332,73226000,0.4675709574034689,187.05733464377002,187.15647017887486,185.47127196380572,186.23455810546875,12393100,-0.21776197331132277,0.13029315960912052,5.882347048478309,2018,1,1
2018-01-10,80.44878188601487,80.75094720748172,80.03674334644032,80.41215515136719,18652200,-0.45343736006878105,54.86350914916023,55.149970485161695,54.713839150969285,55.01913070678711,20734000,-0.23812781335903463,5.387989697031971,5.526763836900809,5.333665496743862,5.523306846618652,582664000,0.7840002895648419,40.47744886221662,40.74393226497454,40.4400468068122,40.74159240722656,95839600,-0.022990614661946226,62.25749969482422,62.71649932861328,61.86149978637695,62.71649932861328,53720000,0.13012055442501544,185.31270497887687,186.25443228122683,184.01411084210392,186.20486450195312,10529900,-0.01594419629616156,-0.11122268282527975,-2.579367369541042,2018,1,1
2018-01-11,80.69603912437161,80.69603912437161,79.88111313088473,80.65026092529297,17808900,0.29610669366785763,55.1266824577769,55.252565133136116,54.83774443550206,55.11379623413086,22424000,0.17205929306344375,5.555903674897513,5.587263864224587,5.511703163551604,5.533186435699463,406032000,0.17887090750460105,40.81172158381117,41.02210547657908,40.78834797363013,40.97301483154297,74670800,0.5680249853841196,62.98699951171875,63.8385009765625,62.823001861572266,63.83399963378906,62500000,1.7818282543489186,186.7599577874975,186.7599577874975,185.7488478548627,186.1354522705078,9588600,-0.03727734591197236,0.70336464787794,0.6110022554106938,2018,1,1
2018-01-12,81.19047016654768,82.20683955078843,80.9890265789199,82.04202270507812,24271500,1.725675483027088,55.01715246966422,56.06783342050424,54.91357113017225,56.035621643066406,38586000,1.6725855809668924,5.521332117817926,5.555655230806842,5.465526210043849,5.5060224533081055,359916000,-0.4909283774733963,41.18340555601736,41.45924133390934,41.05951433352114,41.39612579345703,101672400,1.032657625155598,63.669498443603516,65.28800201416016,63.669498443603516,65.26000213623047,108874000,2.2339231610462718,176.50995417264406,179.9001806600527,175.85569595771645,177.8085479736328,77551300,-4.473572441629034,0.6749602987881185,2.834005361618721,2018,1,1
2018-01-16,82.49985195610911,83.13165107075305,80.58615171876326,80.89746856689453,36599700,-1.3950827886070023,56.51436955500882,56.93910443488251,55.83786934969371,56.03809356689453,36462000,0.004411343634002255,5.532445203405531,5.6178823443928865,5.350705418420513,5.435154914855957,702348000,-1.2870913450338384,41.58546481936825,41.93376483703263,41.17405283422285,41.18574142456055,118263600,-0.5082223634795727,66.1500015258789,66.99700164794922,64.61499786376953,65.24299621582031,144414000,-0.026058718745758446,179.920024921805,180.16784864759262,176.49013790148217,176.83709716796875,36183800,-0.5463465152463417,-0.35244876226720684,14.76377974928878,2018,1,1
2018-01-17,81.56589943052555,82.66467388478401,81.26373401056131,82.53648376464844,25621200,2.0260401552597362,56.31860984509447,56.465307847683086,55.68076449476652,56.45440673828125,27830000,0.7429110180019809,5.449722781931612,5.5588652570627,5.355889972136408,5.548988342285156,538408000,2.0943915897973264,41.176390621417674,41.901040446396664,40.92393560860837,41.8659782409668,137547200,1.6516318339254181,65.61199951171875,65.69999694824219,64.04399871826172,64.75,105076000,-0.7556308637167852,177.69952368356135,177.7590140851603,174.26965169674097,176.05398559570312,27992400,-0.4428434897468297,0.9415051560751221,2.1440823608199833,2018,1,1
